sentence,annotation
The clouds often envelop Mount Pelée in a blanket of mist .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Apo holds cultural significance to indigenous communities nearby .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The Mount Gerizim range stretches over a vast area .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The slopes of Mount Damāvand are covered with diverse vegetation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The history of Mount Bamba is filled with stories of exploration and adventure .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Irazú Volcano has long been a place of pilgrimage for travelers and explorers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Few places on Earth are as captivating as the Mount Mitchell .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Krakatoa is known for its unpredictable weather and stunning views .,B-MOUNTAIN O O O O O O O O O O
The dense forests near Mount Kenya add to its allure .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
The altitude of Table Mountain challenges even the fittest athletes .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The snow capped peaks of Mihintale are visible from miles away .,O O O O O B-MOUNTAIN O O O O O O
In winter Mount Elbert becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Legends say that spirits protect the summit of Makālu .,O O O O O O O O B-MOUNTAIN O
Those who climb Mount Kinabalu often speak of its spiritual energy .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
During storms Lochnagar becomes an even more formidable place .,O O B-MOUNTAIN O O O O O O O
The dense forests near Grossglockner add to its allure .,O O O O B-MOUNTAIN O O O O O
Mount Rushmore has been a source of inspiration for poets and writers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The wildlife near K2 includes rare species like mountain goats and eagles .,O O O B-MOUNTAIN O O O O O O O O O
The mist that surrounds Sassafras Mountain in the mornings adds to its mystique .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The flora and fauna on Snowdon are unique to its ecosystem .,O O O O O B-MOUNTAIN O O O O O O
Locals often tell stories of hidden caves within Klyuchevskaya Volcano .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The scenic views around Mount Pelion attract travelers from far and wide .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Mount Apo is often referred to as the crown jewel of the region .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
The clouds often envelop Qurnat al Sawdāʾ in a blanket of mist .,O O O O O O O O O O O O O
Ancient civilizations left their mark on the slopes of Mount Fairweather .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Those who climb Dom often speak of its spiritual energy .,O O O B-MOUNTAIN O O O O O O O
The sheer size of Mount Toubkal is awe inspiring to anyone who sees it .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The paths leading up to Mount Meru are winding and steep .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
The mountain range that includes Mount Narodnaya is one of the longest in the world .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The rocks on Mount Arvon are treacherous and climbers must tread carefully .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Ancient civilizations left their mark on the slopes of Backbone Mountain .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The view from Dom s summit is worth the difficult journey .,O O O B-MOUNTAIN O O O O O O O O
The harsh conditions on Soufrière are not for the faint hearted .,O O O O B-MOUNTAIN O O O O O O O
Mount Bia has long been a place of pilgrimage for travelers and explorers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Travelers often share stories of their journey to Mount Canlaon .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Mount Elbrus is home to ancient rock formations that date back millennia .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The rocks on Mount Haltia are treacherous and climbers must tread carefully .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Mount Bruce has been a source of inspiration for poets and writers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The base of Mount Bartle Frere is often a meeting point for climbers and tourists alike .,O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The mountain range that includes Mount Chorolque is one of the longest in the world .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Finsteraarhorn has unique geological features not found anywhere else .,B-MOUNTAIN O O O O O O O O O
During storms Ossa becomes an even more formidable place .,O O B-MOUNTAIN O O O O O O O
Climbing Grossglockner requires a lot of training and preparation .,O B-MOUNTAIN O O O O O O O O
Photographers travel to Haramukh to capture its breathtaking views .,O O O B-MOUNTAIN O O O O O O
Many believe that Mount Logan holds hidden treasures within its caves .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The peak of Mount Gongga is one of the most beautiful places on Earth .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
Every year thousands of adventurers visit Cotopaxi .,O O O O O O B-MOUNTAIN O
Haleakala is a UNESCO World Heritage Site due to its natural beauty .,B-MOUNTAIN O O O O O O O O O O O O
During storms San Francisco Peaks becomes an even more formidable place .,O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O
Reaching Madera Volcano requires both mental and physical strength .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The path up Hekla is marked with stunning rock formations .,O O O B-MOUNTAIN O O O O O O O
Local communities revere Croagh Patrick as a sacred mountain .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Every step toward the summit of Mount Katahdin tests one s willpower .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
The paths leading up to Moldoveanu are winding and steep .,O O O O O B-MOUNTAIN O O O O O
In winter Mount Pelée becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The sheer size of Mount Canlaon is awe inspiring to anyone who sees it .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Those who climb Finsteraarhorn often speak of its spiritual energy .,O O O B-MOUNTAIN O O O O O O O
During certain times of the year Toluca is covered in beautiful wildflowers .,O O O O O O B-MOUNTAIN O O O O O O
During the winter months Granite Peak becomes almost inaccessible .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O
Glitter Mountain is known for its sharp jagged peaks .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Victoria Peak offers breathtaking views of the surrounding landscapes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The clouds often envelop Gerlach Peak in a blanket of mist .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Many expeditions have been launched to explore the depths of Dufourspitze .,O O O O O O O O O O B-MOUNTAIN O
Some say the spirits of past climbers still roam Granite Peak .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Zugspitze has been a source of inspiration for poets and writers .,B-MOUNTAIN O O O O O O O O O O O
Few places on Earth are as captivating as the Kamet .,O O O O O O O O O B-MOUNTAIN O
Ossa is known for its sharp jagged peaks .,B-MOUNTAIN O O O O O O O O
The rocks on Mount Pinatubo are treacherous and climbers must tread carefully .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The view from Mount Kosciuszko s summit is worth the difficult journey .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The harsh conditions on Izalco Volcano are not for the faint hearted .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Exploring the base of Mount Tai is an adventure in itself .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Some say the spirits of past climbers still roam Mount Aragats .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Sunrises and sunsets at Mount Pinatubo are unforgettable experiences .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O
Stories of Idi have been passed down through generations .,O O B-MOUNTAIN O O O O O O O
During certain times of the year Bolívar Peak is covered in beautiful wildflowers .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The climate on Mount Chélia can change rapidly posing risks to climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Climbing Giant s Castle is considered a rite of passage for experienced climbers .,O O O O O O O O O O O O O O
Few places on Earth are as captivating as the Mount Toba .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Climbing Hualalai is considered a rite of passage for experienced climbers .,O B-MOUNTAIN O O O O O O O O O O
The highest peak in the Mount Toubkal is well known among mountaineers .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The harsh conditions on Mount Everest are not for the faint hearted .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The river that flows from Gerlach Peak provides life to the valleys below .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Krakatoa has inspired countless works of art and literature .,B-MOUNTAIN O O O O O O O O O
High Point has inspired countless works of art and literature .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Climbing Mount Pelion requires a lot of training and preparation .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The steep cliffs of Ciucaş attract the most daring adventurers .,O O O O B-MOUNTAIN O O O O O O
The descent from Humphreys Peak is as challenging as the ascent .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Xixabangma is a UNESCO World Heritage Site due to its natural beauty .,B-MOUNTAIN O O O O O O O O O O O O
The clouds often envelop Mount Babia in a blanket of mist .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
In winter Mount Chorolque becomes a snowy paradise for skiers and climbers .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The harsh conditions on Mount Hymettus are not for the faint hearted .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Every year thousands of adventurers visit Idi .,O O O O O O B-MOUNTAIN O
Adam s Peak has several trails that vary in difficulty attracting all types of adventurers .,O O O O O O O O O O O O O O O O
The paths leading up to Kamet are winding and steep .,O O O O O B-MOUNTAIN O O O O O
The peak of Volcano Pico de Orizaba is one of the most beautiful places on Earth .,O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
On clear days the view from Sabinio stretches for miles .,O O O O O O B-MOUNTAIN O O O O
Travelers often share stories of their journey to Mount Parnassus .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
The flora and fauna on Dufourspitze are unique to its ecosystem .,O O O O O B-MOUNTAIN O O O O O O
The dense forests near Mount Athos add to its allure .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
During the winter months Mount Aspiring becomes almost inaccessible .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O
Mount Roman Kosh has a unique landscape compared to other mountains .,O O O O O O O O O O O O
Mount Kōya is a major landmark and a point of pride for the local community .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O
The journey to Backbone Mountain requires careful planning and preparation .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The icy winds on Mount Whitney can be relentless at higher altitudes .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The rugged terrain of Montserrat demands skill and endurance from climbers .,O O O O B-MOUNTAIN O O O O O O O
The snow capped peaks of Denali are visible from miles away .,O O O O O B-MOUNTAIN O O O O O O
Mount Narodnaya has inspired countless works of art and literature .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The highest peak in the Mont Blanc is well known among mountaineers .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Cameroon is a popular destination for tourists and hikers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Mount Elbrus has unique geological features not found anywhere else .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The rugged terrain of Lenin Peak demands skill and endurance from climbers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Mount Cook stands as a symbol of resilience and adventure .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The rivers near Imeni Ismail Samani Peak provide fresh water to local communities .,O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O
The forests surrounding Muhavura are filled with diverse wildlife .,O O O B-MOUNTAIN O O O O O O
Mountaineers respect Durmitor for the challenges it presents .,O O B-MOUNTAIN O O O O O O
Mount Arvon has been a source of inspiration for poets and writers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The rivers near Mount Aconcagua provide fresh water to local communities .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The rugged trails on K2 attract experienced hikers from around the world .,O O O O B-MOUNTAIN O O O O O O O O
Many climbers dream of reaching the summit of Lochnagar .,O O O O O O O O B-MOUNTAIN O
The altitude of Santa Ana Volcano challenges even the fittest athletes .,O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O
The path to Doda Betta is filled with both beauty and danger .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The harsh conditions on Öræfajökull are not for the faint hearted .,O O O O B-MOUNTAIN O O O O O O O
The clouds often envelop Mount Toubkal in a blanket of mist .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The climate on Ben Nevis can change rapidly posing risks to climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The landscape around Zugspitze changes dramatically with the seasons .,O O O B-MOUNTAIN O O O O O O
For centuries Maipo Volcano has attracted explorers from around the world .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The sheer size of Mount Cameroon is awe inspiring to anyone who sees it .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The history of Neblina Peak is filled with stories of exploration and adventure .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Reaching Thabana Ntlenyana requires both mental and physical strength .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The journey to the peak of Mount Belukha is both difficult and rewarding .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
During certain times of the year Mount Karisimbi is covered in beautiful wildflowers .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
People come from afar to witness the beauty of Mount Fairweather .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Tourists flock to Mount Karisimbi for its serene and majestic beauty .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The base of High Point is often a meeting point for climbers and tourists alike .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Many have tried and failed to reach the top of Zugspitze .,O O O O O O O O O O B-MOUNTAIN O
The clouds often envelop Mount Sinai in a blanket of mist .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Aso presents a unique challenge to those who attempt to conquer it .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Doda Betta has long been a place of pilgrimage for travelers and explorers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
The beauty of Mount Tupungato is matched by the challenges it presents .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Grossglockner s slopes are covered with dense forests and flowing streams .,B-MOUNTAIN O O O O O O O O O O O
During the winter months Ciucaş becomes almost inaccessible .,O O O O B-MOUNTAIN O O O O
The rugged terrain of Slieve Croob demands skill and endurance from climbers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The rugged terrain of Mount Elbert demands skill and endurance from climbers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Every step toward the summit of Mount Frissell tests one s willpower .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Muhavura is a part of a chain of mountains that spans multiple countries .,B-MOUNTAIN O O O O O O O O O O O O O
Local legends claim that Mount Tambora has healing powers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O
San Francisco Peaks is a natural wonder that captures the imagination of all who visit .,B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
Carrantuohill presents a unique challenge to those who attempt to conquer it .,B-MOUNTAIN O O O O O O O O O O O O
The highest peak in the Adam s Peak is well known among mountaineers .,O O O O O O O O O O O O O O
The base of Dufourspitze is often a meeting point for climbers and tourists alike .,O O O B-MOUNTAIN O O O O O O O O O O O
Those who climb Paricutín often speak of its spiritual energy .,O O O B-MOUNTAIN O O O O O O O
Many climbers dream of reaching the summit of Mauna Loa .,O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Local legends claim that Mount Nyamulagira has healing powers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O
The forests surrounding Mount Tolima are filled with diverse wildlife .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Exploring the Mount Arvon can be a thrilling experience .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The history of Mount Kātrīnā is filled with stories of exploration and adventure .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Toluca stands as a symbol of resilience and adventure .,B-MOUNTAIN O O O O O O O O O
The mountain range that includes Brandberg is one of the longest in the world .,O O O O O B-MOUNTAIN O O O O O O O O O
The altitude of Mount Field challenges even the fittest athletes .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Gerlach Peak is a UNESCO World Heritage Site due to its natural beauty .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Climbing Paricutín requires a lot of training and preparation .,O B-MOUNTAIN O O O O O O O O
The sheer size of Mount Bia is awe inspiring to anyone who sees it .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Mount Damāvand is known for its unpredictable weather and stunning views .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
Reaching Teide Peak requires both mental and physical strength .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Mount Kazbek has several trails that vary in difficulty attracting all types of adventurers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
The summit of Slieve Croob can be reached only by the most experienced climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
Mount Toba holds cultural significance to indigenous communities nearby .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
For centuries Doda Betta has attracted explorers from around the world .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The wildlife near Xixabangma includes rare species like mountain goats and eagles .,O O O B-MOUNTAIN O O O O O O O O O
During storms Katla becomes an even more formidable place .,O O B-MOUNTAIN O O O O O O O
Idi is frequently covered in snow even during the summer months .,B-MOUNTAIN O O O O O O O O O O O
Mount Olympus offers breathtaking views of the surrounding landscapes .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The forests surrounding Mount Hood are filled with diverse wildlife .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The dense forests near Haramukh add to its allure .,O O O O B-MOUNTAIN O O O O O
Every year thousands of adventurers visit Mount Parnassus .,O O O O O O B-MOUNTAIN I-MOUNTAIN O
Climbing Kings Peak requires a lot of training and preparation .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
On clear days the view from Mount Tabor stretches for miles .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O
The rocks on Mount Nyamulagira are treacherous and climbers must tread carefully .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The slopes of K2 are covered with diverse vegetation .,O O O B-MOUNTAIN O O O O O O
Exploring the Öræfajökull can be a thrilling experience .,O O B-MOUNTAIN O O O O O O
Mount Gerizim is frequently covered in snow even during the summer months .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
Every step toward the summit of Gran Paradiso tests one s willpower .,O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Hiking to Anai Peak s summit can take several days to accomplish .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Many climbers dream of reaching the summit of Mount al Durūz .,O O O O O O O O O O O O
Hikers near Mauna Kea are advised to be cautious of sudden weather changes .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
The descent from Mount Taranaki is as challenging as the ascent .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The river that flows from Ossa provides life to the valleys below .,O O O O O B-MOUNTAIN O O O O O O O
Locals often tell stories of hidden caves within Toluca .,O O O O O O O O B-MOUNTAIN O
Mount Aragats has long been a place of pilgrimage for travelers and explorers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
The mountain range that includes Mount Corcovado is one of the longest in the world .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
The river that flows from Ben Nevis provides life to the valleys below .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The rugged trails on Victory Peak attract experienced hikers from around the world .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The steep cliffs of Mount Karisimbi attract the most daring adventurers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Qurnat al Sawdāʾ is one of the most beautiful mountains in the world .,O O O O O O O O O O O O O O
The legend of Mount Huila tells of lost travelers and hidden caves .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Tourists flock to Mount Chélia for its serene and majestic beauty .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
The rivers near Makālu provide fresh water to local communities .,O O O B-MOUNTAIN O O O O O O O
Kings Peak is a popular destination for tourists and hikers .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Expeditions to Dachstein are often halted due to adverse weather .,O O B-MOUNTAIN O O O O O O O O
The steep cliffs of Mount Aspiring attract the most daring adventurers .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
The icy winds on Mount Roman Kosh can be relentless at higher altitudes .,O O O O O O O O O O O O O O
Many have tried and failed to reach the top of Cho Oyu .,O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Climbing Mount Field is considered a rite of passage for experienced climbers .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
The base of Mihintale is often a meeting point for climbers and tourists alike .,O O O B-MOUNTAIN O O O O O O O O O O O
Paricutín is often referred to as the crown jewel of the region .,B-MOUNTAIN O O O O O O O O O O O O
Ancient civilizations left their mark on the slopes of Manāslu I .,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O
Hiking to Cotopaxi s summit can take several days to accomplish .,O O B-MOUNTAIN O O O O O O O O O
Photographers travel to Cradle Mountain to capture its breathtaking views .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Reaching Lassen Peak requires both mental and physical strength .,O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Sunrises and sunsets at Mount Whitney are unforgettable experiences .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O
The climate on Mount Ontake can change rapidly posing risks to climbers .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
Mount Apo is home to ancient rock formations that date back millennia .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The paths leading up to Mount Inthanon are winding and steep .,O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Mount Parnassus has a unique landscape compared to other mountains .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Mount Kōya has a unique landscape compared to other mountains .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Sunrises and sunsets at Mount Aconcagua are unforgettable experiences .,O O O O B-MOUNTAIN I-MOUNTAIN O O O O
The ecosystem around Mount Bia is fragile and needs to be preserved .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The altitude of Mount Roman Kosh challenges even the fittest athletes .,O O O O O O O O O O O O
The ecosystem around Irazú Volcano is fragile and needs to be preserved .,O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
The peak of Brocken is one of the most beautiful places on Earth .,O O O B-MOUNTAIN O O O O O O O O O O
During storms Mount Olympus becomes an even more formidable place .,O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
People come from around the globe to admire the grandeur of Soufrière .,O O O O O O O O O O O B-MOUNTAIN O
Zugspitze is a UNESCO World Heritage Site due to its natural beauty .,B-MOUNTAIN O O O O O O O O O O O O
Mount Cook is home to ancient rock formations that date back millennia .,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
The highest peak in the San Francisco Peaks is well known among mountaineers .,O O O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O
